,High_ARIMA
2023-05-27,26874.732398637523
2023-05-28,26973.42178268522
2023-05-29,27018.23871189578
2023-05-30,27083.693522174963
2023-05-31,27141.24221166774
2023-06-01,27201.81963970598
2023-06-02,27261.236794909462
2023-06-03,27321.09843649923
2023-06-04,27380.789800770013
2023-06-05,27440.54639620705
2023-06-06,27500.27800237907
2023-06-07,27560.01918163405
2023-06-08,27619.756693557585
2023-06-09,27679.49561039111
2023-06-10,27739.233989020737
2023-06-11,27798.97257382972
2023-06-12,27858.711079653905
2023-06-13,27918.449615736205
2023-06-14,27978.18814022699
2023-06-15,28037.92666915834
2023-06-16,28097.665196388567
2023-06-17,28157.403724270473
2023-06-18,28217.142251902726
2023-06-19,28276.880779630617
2023-06-20,28336.61930732187
2023-06-21,28396.35783502716
2023-06-22,28456.096362727072
2023-06-23,28515.834890429043
2023-06-24,28575.57341813023
2023-06-25,28635.311945831716
2023-06-26,28695.050473533087
2023-06-27,28754.7890012345
2023-06-28,28814.527528935898
2023-06-29,28874.2660566373
2023-06-30,28934.0045843387
2023-07-01,28993.743112040105
2023-07-02,29053.48163974151
2023-07-03,29113.220167442912
2023-07-04,29172.958695144316
2023-07-05,29232.69722284572
2023-07-06,29292.435750547123
2023-07-07,29352.174278248527
2023-07-08,29411.91280594993
2023-07-09,29471.651333651334
2023-07-10,29531.389861352738
2023-07-11,29591.12838905414
2023-07-12,29650.866916755545
2023-07-13,29710.60544445695
2023-07-14,29770.343972158353
2023-07-15,29830.082499859756
2023-07-16,29889.82102756116
2023-07-17,29949.559555262564
2023-07-18,30009.298082963967
2023-07-19,30069.03661066537
2023-07-20,30128.775138366775
2023-07-21,30188.51366606818
2023-07-22,30248.252193769582
2023-07-23,30307.990721470986
2023-07-24,30367.72924917239
2023-07-25,30427.467776873793
2023-07-26,30487.206304575197
2023-07-27,30546.9448322766
2023-07-28,30606.683359978004
2023-07-29,30666.421887679408
2023-07-30,30726.16041538081
2023-07-31,30785.898943082215
2023-08-01,30845.63747078362
2023-08-02,30905.375998485022
2023-08-03,30965.114526186426
2023-08-04,31024.85305388783
2023-08-05,31084.591581589233
2023-08-06,31144.330109290637
2023-08-07,31204.06863699204
2023-08-08,31263.807164693444
2023-08-09,31323.545692394848
2023-08-10,31383.28422009625
2023-08-11,31443.022747797655
2023-08-12,31502.76127549906
2023-08-13,31562.499803200462
2023-08-14,31622.238330901866
2023-08-15,31681.97685860327
2023-08-16,31741.715386304673
2023-08-17,31801.453914006077
2023-08-18,31861.19244170748
2023-08-19,31920.930969408884
2023-08-20,31980.669497110288
2023-08-21,32040.40802481169
2023-08-22,32100.146552513095
2023-08-23,32159.8850802145
2023-08-24,32219.623607915903
2023-08-25,32279.362135617306
2023-08-26,32339.10066331871
2023-08-27,32398.839191020114
2023-08-28,32458.577718721517
2023-08-29,32518.31624642292
2023-08-30,32578.054774124324
2023-08-31,32637.793301825728
2023-09-01,32697.53182952713
2023-09-02,32757.270357228535
2023-09-03,32817.008884929935
2023-09-04,32876.74741263134
2023-09-05,32936.48594033274
2023-09-06,32996.22446803415
2023-09-07,33055.96299573555
2023-09-08,33115.701523436954
2023-09-09,33175.44005113836
2023-09-10,33235.17857883976
2023-09-11,33294.917106541165
2023-09-12,33354.65563424257
2023-09-13,33414.39416194397
2023-09-14,33474.132689645376
2023-09-15,33533.87121734678
2023-09-16,33593.60974504818
2023-09-17,33653.34827274959
2023-09-18,33713.08680045099
2023-09-19,33772.825328152394
2023-09-20,33832.5638558538
2023-09-21,33892.3023835552
2023-09-22,33952.040911256605
2023-09-23,34011.77943895801
2023-09-24,34071.51796665941
2023-09-25,34131.256494360816
2023-09-26,34190.99502206222
2023-09-27,34250.73354976362
2023-09-28,34310.47207746503
2023-09-29,34370.21060516643
2023-09-30,34429.949132867834
2023-10-01,34489.68766056924
2023-10-02,34549.42618827064
2023-10-03,34609.164715972045
2023-10-04,34668.90324367345
2023-10-05,34728.64177137485
2023-10-06,34788.380299076256
2023-10-07,34848.11882677766
2023-10-08,34907.85735447906
2023-10-09,34967.59588218047
2023-10-10,35027.33440988187
2023-10-11,35087.072937583274
2023-10-12,35146.81146528468
2023-10-13,35206.54999298608
2023-10-14,35266.288520687485
2023-10-15,35326.02704838889
2023-10-16,35385.76557609029
2023-10-17,35445.504103791696
2023-10-18,35505.2426314931
2023-10-19,35564.9811591945
2023-10-20,35624.71968689591
2023-10-21,35684.45821459731
2023-10-22,35744.196742298715
2023-10-23,35803.93527000012
2023-10-24,35863.67379770152
2023-10-25,35923.412325402925
2023-10-26,35983.15085310433
2023-10-27,36042.88938080573
2023-10-28,36102.62790850714
2023-10-29,36162.36643620854
2023-10-30,36222.104963909944
2023-10-31,36281.84349161135
2023-11-01,36341.58201931275
2023-11-02,36401.320547014155
2023-11-03,36461.05907471556
2023-11-04,36520.79760241696
2023-11-05,36580.536130118366
2023-11-06,36640.27465781977
2023-11-07,36700.01318552117
2023-11-08,36759.75171322258
2023-11-09,36819.49024092398
2023-11-10,36879.228768625384
2023-11-11,36938.96729632679
2023-11-12,36998.70582402819
2023-11-13,37058.444351729595
2023-11-14,37118.182879431
2023-11-15,37177.9214071324
2023-11-16,37237.659934833806
2023-11-17,37297.39846253521
2023-11-18,37357.13699023661
2023-11-19,37416.87551793802
2023-11-20,37476.61404563942
2023-11-21,37536.352573340824
2023-11-22,37596.09110104223
2023-11-23,37655.82962874363
2023-11-24,37715.568156445035
2023-11-25,37775.30668414644
2023-11-26,37835.04521184784
2023-11-27,37894.783739549246
2023-11-28,37954.52226725065
2023-11-29,38014.26079495205
2023-11-30,38073.99932265346
2023-12-01,38133.73785035486
2023-12-02,38193.476378056264
2023-12-03,38253.21490575767
2023-12-04,38312.95343345907
2023-12-05,38372.691961160475
2023-12-06,38432.43048886188
2023-12-07,38492.16901656328
2023-12-08,38551.907544264686
2023-12-09,38611.64607196609
2023-12-10,38671.38459966749
2023-12-11,38731.1231273689
2023-12-12,38790.8616550703
2023-12-13,38850.600182771705
2023-12-14,38910.33871047311
2023-12-15,38970.07723817451
2023-12-16,39029.815765875916
2023-12-17,39089.55429357732
2023-12-18,39149.29282127872
2023-12-19,39209.03134898013
2023-12-20,39268.76987668153
2023-12-21,39328.508404382934
2023-12-22,39388.24693208434
2023-12-23,39447.98545978574
2023-12-24,39507.723987487145
2023-12-25,39567.46251518855
2023-12-26,39627.20104288995
2023-12-27,39686.939570591356
2023-12-28,39746.67809829276
2023-12-29,39806.41662599416
2023-12-30,39866.15515369557
2023-12-31,39925.89368139697
